item	purity_sphingo	purity_non_sphingo	weighted_ratio
GC_00000001	0.5054945054945055	0.5863354037267081	-0.08084089823220264
GC_00000002	1.0	0.9987577639751553	0.001242236024844745
GC_00000003	0.01098901098901099	0.7652173913043478	-0.7542283803153369
GC_00000004	0.015384615384615385	0.7900621118012422	-0.7746774964166268
GC_00000005	0.6813186813186813	0.8372670807453416	-0.15594839942666028
GC_00000006	1.0	0.9788819875776398	0.02111801242236022
GC_00000007	0.9934065934065934	0.6434782608695652	0.34992833253702826
GC_00000008	0.9692307692307692	0.20124223602484473	0.7679885332059245
GC_00000009	0.9934065934065934	0.853416149068323	0.13999044433827046
GC_00000010	0.9934065934065934	0.6484472049689441	0.3449593884376493
GC_00000011	0.9912087912087912	0.6360248447204969	0.3551839464882943
GC_00000012	0.9802197802197802	0.8745341614906832	0.10568561872909699
GC_00000013	0.989010989010989	0.5254658385093167	0.46354515050167233
GC_00000014	0.046153846153846156	0.28695652173913044	-0.2408026755852843
GC_00000015	0.008791208791208791	0.8322981366459627	-0.823506927854754
GC_00000016	0.5384615384615384	0.7975155279503106	-0.2590539894887721
GC_00000017	0.9934065934065934	0.6645962732919255	0.32881032011466793
GC_00000018	1.0	0.808695652173913	0.19130434782608696
GC_00000019	0.9978021978021978	0.4583850931677019	0.539417104634496
GC_00000020	0.01098901098901099	0.6347826086956522	-0.6237935977066412
GC_00000021	0.6285714285714286	0.3515527950310559	0.27701863354037265
GC_00000022	0.9384615384615385	0.8596273291925466	0.07883420926899187
GC_00000023	0.9956043956043956	0.7776397515527951	0.21796464405160054
GC_00000024	1.0	0.9254658385093167	0.07453416149068326
GC_00000025	0.989010989010989	0.9788819875776398	0.010129001433349272
GC_00000026	0.035164835164835165	0.4335403726708075	-0.3983755375059723
GC_00000027	0.17142857142857143	0.591304347826087	-0.41987577639751555
GC_00000028	0.8	0.7565217391304347	0.0434782608695653
GC_00000029	0.9956043956043956	0.7552795031055901	0.2403248924988055
GC_00000030	0.9978021978021978	0.6968944099378882	0.3009077878643096
GC_00000031	0.9978021978021978	0.8248447204968944	0.17295747730530342
GC_00000032	1.0	0.9788819875776398	0.02111801242236022
GC_00000033	0.9758241758241758	0.7875776397515528	0.18824653607262298
GC_00000034	0.9912087912087912	0.9105590062111801	0.08064978499761111
GC_00000035	0.9978021978021978	0.8981366459627329	0.0996655518394649
GC_00000036	0.9978021978021978	0.760248447204969	0.23755375059722883
GC_00000037	0.9626373626373627	0.009937888198757764	0.9526994744386049
GC_00000038	0.9912087912087912	0.9850931677018634	0.0061156235069278475
GC_00000039	0.1978021978021978	0.5515527950310559	-0.35375059722885815
GC_00000040	0.9956043956043956	0.8385093167701864	0.15709507883420926
GC_00000041	0.9956043956043956	0.9900621118012423	0.005542283803153358
GC_00000042	0.9956043956043956	0.9577639751552796	0.03784042044911606
GC_00000043	0.989010989010989	0.8509316770186336	0.13807931199235546
GC_00000044	0.8065934065934066	0.08198757763975155	0.7246058289536551
GC_00000045	1.0	0.6149068322981367	0.3850931677018633
GC_00000046	0.9978021978021978	0.853416149068323	0.14438604873387484
GC_00000047	0.8263736263736263	0.546583850931677	0.2797897754419493
GC_00000048	0.9934065934065934	0.9602484472049689	0.033158146201624494
GC_00000049	0.8461538461538461	0.7279503105590062	0.11820353559483998
GC_00000050	1.0	0.1763975155279503	0.8236024844720498
GC_00000051	0.9934065934065934	0.9801242236024845	0.013282369804108907
GC_00000052	0.9978021978021978	0.9838509316770186	0.013951266125179163
GC_00000053	0.9934065934065934	0.9614906832298137	0.03191591017677975
GC_00000054	0.9956043956043956	0.9850931677018634	0.010511227902532227
GC_00000055	0.6417582417582418	0.5453416149068323	0.0964166268514095
GC_00000056	0.9978021978021978	0.9192546583850931	0.07854753941710468
GC_00000057	0.9956043956043956	0.9118012422360249	0.08380315336837074
GC_00000058	0.9978021978021978	0.9254658385093167	0.07233635929288107
GC_00000059	0.8967032967032967	0.9788819875776398	-0.08217869087434304
GC_00000060	0.9956043956043956	0.8248447204968944	0.17075967510750123
GC_00000061	0.02857142857142857	0.546583850931677	-0.5180124223602485
GC_00000062	0.9912087912087912	0.8360248447204969	0.15518394648829437
GC_00000063	0.9824175824175824	0.6658385093167701	0.31657907310081224
GC_00000064	0.9978021978021978	0.8484472049689441	0.1493549928332537
